,Title,Published_date,Views,Likes,Dislikes,Comments,Month
269,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4185,180,0,15,Mar
270,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,805,33,0,12,Mar
271,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1437,36,0,8,Mar
272,Where YOU Should Start With Data Science Projects,2019-02-19,16778,347,0,17,Feb
273,Watch This Before Applying to Data Science Jobs,2019-02-04,1494,66,0,13,Feb
274,My Top 5 Data Science Resources for 2019,2019-01-05,3701,122,0,17,Jan
275,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,832,36,0,6,Dec
276,The Best Way to Predict NBA Minutes Played,2018-12-11,4257,107,0,14,Dec
277,Demystifying Data Science Roles,2018-11-30,1136,53,0,5,Nov
278,How to Simulate NBA Games in Python,2018-11-19,17666,390,0,54,Nov
279,Should You Get A Masters in Data Science?,2018-11-14,20554,305,0,135,Nov
280,How I Became A Data Scientist From a Business Background,2018-11-12,6461,196,0,23,Nov
281,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8677,193,0,17,Jul
282,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18910,293,0,41,Nov
